51HI-58038|1|1778516691|0|0.00|0
75CK-20695|2|1778459927|0|0.00|0
51AG-57754|2|1778494715|0|0.00|1
30MD-50849|1|1778439581|0|0.00|0
29TD-12559|2|1778501169|0|0.00|0
30FI-45896|2|1778513896|0|0.00|0
99UU-80840|0|1778511929|1779028907|287210.00|1
29BL-31563|1|1778425890|0|0.00|0
51HG-82430|1|1778433809|0|0.00|0
61KH-33593|2|1778505951|0|0.00|1
51NS-84785|1|1778464256|0|0.00|0
75BS-70136|0|1778496318|0|0.00|0
29ME-25719|1|1778473415|0|0.00|0
61FP-13302|0|1778480598|0|0.00|1
29KP-97195|2|1778736838|0|0.00|0
29GG-42120|1|1778804496|0|0.00|0
30GN-49389|1|1778657352|0|0.00|0
61CB-80085|1|1778700276|0|0.00|1
61KG-90571|2|1778743804|0|0.00|0
30TE-43414|0|1778693361|0|0.00|0
75ED-10192|1|1778687391|0|0.00|0
75FA-54948|0|1778664988|0|0.00|0
29KI-81839|2|1778796186|0|0.00|0
61SI-14223|0|1778501292|0|0.00|0
30CP-50326|2|1778455445|0|0.00|0
29TH-41388|0|1778690572|0|0.00|0
75IK-14060|1|1778812832|0|0.00|0
29GD-34689|0|1778729255|0|0.00|0
51GK-42401|1|1778773060|0|0.00|0
61IG-29771|0|1778703524|0|0.00|0
99FD-94275|1|1778735498|0|0.00|0
29LL-47318|1|1778818965|0|0.00|0
30DT-55670|1|1778760461|0|0.00|0
75GT-44181|1|1778700849|0|0.00|0
75EG-63132|0|1778668824|0|0.00|1
61SA-50200|2|1778757735|0|0.00|0
51HT-48417|0|1778493407|0|0.00|0
75LK-77902|0|1778451626|0|0.00|0
29HD-44453|1|1778424569|0|0.00|1
30UG-60188|2|1778814400|0|0.00|0
61DC-41463|1|1778755547|0|0.00|0
61FA-21774|2|1778795397|0|0.00|0
75CL-87828|1|1778829677|0|0.00|0
51EM-52698|1|1778790120|0|0.00|0
99FT-18664|2|1778727496|0|0.00|0
99SN-35786|0|1778802457|0|0.00|0
29HK-67084|1|1778804586|0|0.00|0
30PF-38098|1|1778748981|0|0.00|1
29EP-86960|0|1778703746|0|0.00|0
75GN-78182|1|1778815564|0|0.00|0
61FK-15216|0|1778660246|0|0.00|0
30GD-73063|2|1778762737|0|0.00|1
99KM-39766|2|1778683848|0|0.00|0
99UU-98717|0|1778703099|0|0.00|0
51LB-11649|1|1778829832|0|0.00|0
61FD-50341|2|1778720972|0|0.00|0
51TI-98084|1|1778697560|0|0.00|0
61HM-41992|2|1778658241|0|0.00|0
99AK-52246|0|1778660216|0|0.00|1
30DK-82620|2|1778786358|0|0.00|0
61IK-68259|1|1778718908|0|0.00|0
75FF-70155|0|1778817688|0|0.00|0
51CH-51784|2|1778693758|0|0.00|1
51CH-51784|2|1778693758|0|0.00|1
12AB-12345|0|1778899734|1778899758|2000.00|1
60AB-12345|0|1779029165|1779029196|2000.00|1
